"dataset","source","yi","vi","logrr","cases","dose","peryears","weight"
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.19318999350071,0.0406889983244064,-0.19318999350071,61,1.84800004959106,12143,24.5766679245129
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.133650004863739,0.0365099962194016,-0.133650004863739,79,9.08679962158203,14671.51953125,27.38975906737
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.216729998588562,0.040871997726946,-0.216729998588562,60,22.8570995330811,12854.2998046875,24.4666288807489
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.186719998717308,0.0452509994352132,-0.186719998717308,53,45.5951995849609,10925.75,22.0989594148461
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.223260000348091,0.0443819972042691,-0.223260000348091,41,2.09999990463257,99390.7265625,22.5316583973785
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.0329100005328655,0.0351400021614302,-0.0329100005328655,67,9.5,111751.78125,28.4575964283122
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.681739985942841,0.0763309928984767,-0.681739985942841,18,18.7999992370605,53704.7109375,13.1008383623418
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.229809999465942,0.0373210033138901,0.229809999465942,67,40.2999992370605,47656.9609375,26.7945636827995
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.101039998233318,0.0320900029983219,0.101039998233318,136,2.20000004768372,1782.73999023438,31.1623529624567
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.178780004382133,0.0284100015199593,0.178780004382133,200,9.30000019073486,2456.36010742188,35.1988717528739
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.0957800000905991,0.0291000019297326,0.0957800000905991,193,22.5,2069.80004882812,34.3642588895591
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.527289986610413,0.0343999997344469,0.527289986610413,188,41.2999992370605,1266.80004882812,29.0697676662664
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.318749994039536,0.029246999836385,-0.318749994039536,135,0.96670001745224,90930.1796875,34.1915412040295
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.0535599999129772,0.0336630000444206,-0.0535599999129772,86,11.3999996185303,42533.96875,29.706205587156
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",-0.163900002837181,0.0411790017772697,-0.163900002837181,53,22.7999992370605,25430.01953125,24.2842214925178
"dosresmeta::alcohol_lc::alcohol_lc","dosresmeta",0.15140999853611,0.037050000892311,0.15140999853611,71,45.5999984741211,19493.390625,26.9905526563032
