"dataset","source","yi","vi","school","year","district","weight"
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.18,0.118,1,1976,11,8.47457627118644
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.22,0.118,2,1976,11,8.47457627118644
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.23,0.144,3,1976,11,6.94444444444444
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.3,0.144,4,1976,11,6.94444444444444
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.13,0.014,1,1989,12,71.4285714285714
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.26,0.014,2,1989,12,71.4285714285714
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.19,0.015,3,1989,12,66.6666666666667
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.32,0.024,4,1989,12,41.6666666666667
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.45,0.023,1,1994,18,43.4782608695652
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.38,0.043,2,1994,18,23.2558139534884
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.29,0.012,3,1994,18,83.3333333333333
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.16,0.02,1,1976,27,50
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.65,0.004,2,1976,27,250
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.36,0.004,3,1976,27,250
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.6,0.007,4,1976,27,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.08,0.019,1,1997,56,52.6315789473684
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.04,0.007,2,1997,56,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.19,0.005,3,1997,56,200
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.06,0.004,4,1997,56,250
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.18,0.02,1,1976,58,50
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0,0.018,2,1976,58,55.5555555555556
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0,0.019,3,1976,58,52.6315789473684
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.28,0.022,4,1976,58,45.4545454545455
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.04,0.02,5,1976,58,50
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.3,0.021,6,1976,58,47.6190476190476
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.07,0.006,7,1976,58,166.666666666667
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0,0.007,8,1976,58,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.05,0.007,9,1976,58,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.08,0.007,10,1976,58,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.09,0.007,11,1976,58,142.857142857143
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.3,0.015,1,1997,71,66.6666666666667
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.98,0.011,2,1997,71,90.9090909090909
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",1.19,0.01,3,1997,71,100
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.07,0.001,1,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.05,0.001,2,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.01,0.001,3,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.02,0.001,4,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.03,0.001,5,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0,0.001,6,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.01,0.001,7,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.1,0.001,8,1997,86,1000
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.5,0.01,1,2000,91,100
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.66,0.011,2,2000,91,90.9090909090909
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.2,0.01,3,2000,91,100
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0,0.009,4,2000,91,111.111111111111
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.05,0.013,5,2000,91,76.9230769230769
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.07,0.013,6,2000,91,76.9230769230769
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.52,0.031,1,2000,108,32.258064516129
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.7,0.031,2,2000,108,32.258064516129
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.03,0.03,3,2000,108,33.3333333333333
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.27,0.03,4,2000,108,33.3333333333333
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.34,0.03,5,2000,108,33.3333333333333
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.12,0.087,1,1995,644,11.4942528735632
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.61,0.082,2,1995,644,12.1951219512195
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",0.04,0.067,3,1994,644,14.9253731343284
"metadat::dat.konstantopoulos2011::dat.konstantopoulos2011","metadat",-0.05,0.067,4,1994,644,14.9253731343284
